GameID,Title,Max Players,Review Score,Sales,Price,Category,Year
1,Super Mario 64 DS,1,85,4.69,24.95,E,2004
2,Lumines: Puzzle Fusion,1,89,0.56,14.95,E,2004
3,WarioWare Touched!,2,81,0.54,22.95,E,2004
4,Hot Shots Golf: Open Tee,1,81,0.49,12.95,E,2004
5,Spider-Man 2,1,61,0.45,14.95,E,2004
6,The Urbz: Sims in the City,1,67,0.41,12.95,M,2004
7,Ridge Racer,1,88,0.36,19.95,E,2004
8,Metal Gear Ac!d,1,75,0.34,17.95,E,2004
9,Madden NFL 2005,1,68,0.25,8.95,T,2004
10,Pokmon Dash,1,46,0.22,24.95,T,2004
11,Dynasty Warriors,1,62,,14.95,E,2004
12,Feel the Magic XY/XX,1,75,0.16,8.95,T,2004
13,Ridge Racer DS,1,63,0.15,9.95,E,2004
14,Darkstalkers Chronicle: The Chaos Tower,1,74,0.14,14.95,E,2004
15,Ape Escape Academy,4,51,0.13,14.95,E,2004
16,Polarium,1,73,0.12,8.95,E,2004
17,Asphalt: Urban GT,1,60,0.11,14.95,E,2004
18,Zoo Keeper,1,74,0.1,14.95,T,2004
19,Mr. DRILLER: Drill Spirits,1,72,0.09,14.95,T,2004
20,Sprung,1,48,0.06,8.95,E,2004
21,Armored Core: Formula Front - Extreme Battle,1,66,0.05,16.95,E,2004
22,Puyo Pop Fever,1,76,0.04,19.95,E,2004
23,Mario Kart DS,1,91,9.99,29.95,E,2005
24,Nintendogs,1,83,9.72,26.95,E,2005
25,Brain Age: Train Your Brain in Minutes a Day!,1,77,5.07,17.95,M,2005
26,Brain Agey: More Training in Minutes a Day!,1,77,3.65,17.95,E,2005
27,Grand Theft Auto: Liberty City Stories,1,88,2.97,17.95,E,2005
28,Animal Crossing: Wild World,1,86,2.6,24.95,T,2005
29,Big Brain Academy,1,74,1.77,16.95,E,2005
30,Call of Duty 2,4,89,1.69,17.95,E,2005
31,Midnight Club 3: DUB Edition,1,74,1.69,14.95,T,2005
32,Need for Speed: Most Wanted 5-1-0,1,72,1.67,14.95,M,2005
33,Pokmon Mystery Dungeon: Blue Rescue Team,1,62,1.22,14.95,T,2005
34,Sonic Rush,1,82,1.2,14.95,E,2005
35,Star Wars: Battlefront II,1,69,1.09,16.95,E,2005
36,SOCOM: U.S. Navy SEALs - Fireteam Bravo,1,82,1.07,14.95,E,2005
37,Need for Speed: Most Wanted,2,83,0.95,17.95,E,2005
38,Zoo Tycoon DS,1,44,0.92,12.95,T,2005
39,The Sims 2,1,70,0.83,17.95,M,2005
40,Mario & Luigi: Partners in Time,1,86,0.75,29.95,E,2005
41,Madden NFL 06,1,75,0.75,7.95,E,2005
42,Need for Speed Underground: Rivals,4,74,0.73,17.95,E,2005
43,Twisted Metal: Head-On,1,79,0.73,14.95,E,2005
44,Perfect Dark Zero,4,79,0.7,17.95,E,2005
45,Super Monkey Ball: Touch & Roll,1,63,0.7,15.95,T,2005
46,Super Princess Peach,1,75,0.7,29.95,T,2005
47,Burnout Legends,1,86,0.68,14.95,T,2005
